STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-7 	 9 	 1016 	0 	 0 	 90 	-0.27125 	 0.49 	 0.0175 	23.6 	
-8 	 7 	 1018 	0 	 0 	 89 	-0.25375 	 0.53375 	 -0.07875 	23.6 	
-6 	 4 	 1016 	0 	 0 	 90 	-0.2275 	 0.51625 	 -0.2625 	23.7 	
-7 	 4 	 1018 	0 	 0 	 90 	-0.23625 	 0.49875 	 -0.76125 	23.7 	
-9 	 8 	 1017 	0 	 0 	 89 	-0.21 	 0.51625 	 -1.05 	23.6 	
-8 	 13 	 1016 	0 	 0 	 90 	-0.25375 	 0.53375 	 -0.93625 	23.6 	
-7 	 14 	 1017 	0 	 0 	 90 	-0.21875 	 0.56 	 -0.665 	23.6 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.18375 	 0.5075 	 -0.525 	23.6 	
-6 	 10 	 1017 	0 	 0 	 90 	-0.13125 	 0.5075 	 -0.51625 	23.6 	
-7 	 10 	 1016 	0 	 0 	 90 	-0.1225 	 0.525 	 -0.5075 	23.6 	
-6 	 11 	 1018 	0 	 0 	 90 	-0.13125 	 0.5075 	 -0.69125 	23.6 	
-9 	 11 	 1017 	0 	 0 	 89 	-0.13125 	 0.5075 	 -0.84875 	23.6 	
-9 	 11 	 1015 	0 	 0 	 89 	-0.14875 	 0.49875 	 -1.0675 	23.6 	
-11 	 9 	 1018 	0 	 0 	 89 	-0.11375 	 0.49 	 -1.1725 	23.6 	
-11 	 10 	 1016 	0 	 0 	 89 	-0.20125 	 0.5075 	 -0.8925 	23.6 	
-10 	 9 	 1016 	0 	 0 	 89 	-0.245 	 0.49875 	 -0.60375 	23.6 	
-7 	 13 	 1017 	0 	 0 	 90 	-0.28875 	 0.525 	 -0.2975 	23.7 	
-4 	 17 	 1016 	0 	 1 	 88 	-0.18375 	 0.49875 	 -0.245 	23.7 	
-2 	 19 	 1017 	0 	 1 	 88 	-0.13125 	 0.5425 	 -0.32375 	23.6 	
-4 	 15 	 1017 	0 	 0 	 90 	-0.11375 	 0.55125 	 -0.39375 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.14875 	 0.5075 	 -0.4375 	23.6 	
-9 	 10 	 1017 	0 	 0 	 89 	-0.25375 	 0.49 	 -0.28 	23.6 	
-10 	 8 	 1017 	0 	 0 	 89 	-0.2625 	 0.53375 	 -0.2625 	23.7 	
-9 	 9 	 1018 	0 	 0 	 89 	-0.2275 	 0.5425 	 -0.32375 	23.7 	
-7 	 9 	 1018 	0 	 0 	 90 	-0.14 	 0.51625 	 -0.315 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.16625 	 0.53375 	 -0.39375 	23.6 	
-6 	 11 	 1016 	0 	 0 	 90 	-0.14875 	 0.51625 	 -0.595 	23.7 	
-8 	 12 	 1017 	0 	 0 	 90 	-0.14 	 0.48125 	 -0.6125 	23.7 	
-7 	 14 	 1017 	0 	 0 	 90 	-0.1225 	 0.525 	 -0.4375 	23.6 	
-5 	 12 	 1017 	0 	 0 	 90 	-0.16625 	 0.525 	 -0.2625 	23.6 	
-6 	 13 	 1017 	0 	 0 	 90 	-0.16625 	 0.51625 	 -0.23625 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.1925 	 0.53375 	 -0.25375 	23.6 	
-8 	 9 	 1018 	0 	 0 	 90 	-0.13125 	 0.525 	 -0.2975 	23.6 	
-9 	 8 	 1019 	0 	 0 	 89 	-0.035 	 0.42 	 -0.35 	23.6 	
-10 	 7 	 1018 	0 	 0 	 89 	0.09625 	 0.35875 	 -0.35875 	23.6 	
-7 	 10 	 1017 	0 	 0 	 90 	0.14 	 0.3675 	 -0.41125 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	0.02625 	 0.42875 	 -0.5075 	23.6 	
-6 	 14 	 1016 	0 	 0 	 90 	0.00875 	 0.42875 	 -0.46375 	23.6 	
-6 	 13 	 1018 	0 	 0 	 90 	-0.0875 	 0.49 	 -0.3325 	23.6 	
-6 	 13 	 1016 	0 	 0 	 90 	-0.02625 	 0.46375 	 -0.2975 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.06125 	 0.49875 	 -0.23625 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.20125 	 0.55125 	 -0.23625 	23.6 	
-6 	 11 	 1015 	0 	 0 	 90 	-0.28875 	 0.58625 	 -0.2625 	23.7 	
